Watching for file changes with StatReloader
[22/Jul/2024 10:04:20] "GET / HTTP/1.1" 200 4551
[22/Jul/2024 10:04:21] "GET / HTTP/1.1" 200 4551
Not Found: /favicon.ico
WARNING:django.request:Not Found: /favicon.ico
[22/Jul/2024 10:04:23] "GET /favicon.ico HTTP/1.1" 404 2454
[22/Jul/2024 10:04:35] "GET /dashboard/cashier-login/ HTTP/1.1" 200 1060
[22/Jul/2024 10:04:38] "POST /dashboard/cashier-login/ HTTP/1.1" 302 0
[22/Jul/2024 10:04:38] "GET /dashboard/cashier-dashboard/ HTTP/1.1" 200 1609
[22/Jul/2024 10:04:52] "GET /dashboard/register-new-farmer/ HTTP/1.1" 200 2985
[22/Jul/2024 10:05:05] "GET / HTTP/1.1" 200 4551
[22/Jul/2024 10:05:10] "GET /board/admin_login/ HTTP/1.1" 200 1056
[22/Jul/2024 10:05:22] "POST /board/admin_login/ HTTP/1.1" 302 0
[22/Jul/2024 10:05:22] "GET /board/admin_dashboard/ HTTP/1.1" 200 6612
[22/Jul/2024 10:05:27] "GET /board/all-farmers/ HTTP/1.1" 200 26152
[22/Jul/2024 10:08:23] "GET /board/admin_dashboard/?search_query=wilson HTTP/1.1" 200 6872
[22/Jul/2024 10:08:25] "GET /board/edit_farmer/257/ HTTP/1.1" 200 2866
[22/Jul/2024 10:08:31] "POST /board/edit_farmer/257/ HTTP/1.1" 200 3074
[22/Jul/2024 10:08:35] "GET /board/admin_dashboard/ HTTP/1.1" 200 6612
[22/Jul/2024 10:08:39] "GET /board/all-farmers/ HTTP/1.1" 200 26149
Forbidden (CSRF token from POST incorrect.): /dashboard/register-new-farmer/
WARNING:django.security.csrf:Forbidden (CSRF token from POST incorrect.): /dashboard/register-new-farmer/
[22/Jul/2024 10:24:25] "POST /dashboard/register-new-farmer/ HTTP/1.1" 403 2517
[22/Jul/2024 10:24:32] "GET /dashboard/register-new-farmer/ HTTP/1.1" 200 2985
[22/Jul/2024 10:24:43] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 10:24:50] "GET /board/all-farmers/ HTTP/1.1" 200 26891
[22/Jul/2024 10:26:33] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 10:26:41] "GET /board/all-farmers/ HTTP/1.1" 200 27634
[22/Jul/2024 10:28:12] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 10:28:19] "GET /board/all-farmers/ HTTP/1.1" 200 28377
[22/Jul/2024 10:29:54] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 10:29:58] "GET /board/all-farmers/ HTTP/1.1" 200 29118
[22/Jul/2024 10:32:08] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 10:32:13] "GET /board/all-farmers/ HTTP/1.1" 200 29861
[22/Jul/2024 10:36:16] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 10:36:20] "GET /board/all-farmers/ HTTP/1.1" 200 30605
[22/Jul/2024 10:38:49] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 10:38:53] "GET /board/all-farmers/ HTTP/1.1" 200 31344
[22/Jul/2024 10:53:51] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 10:53:59] "GET /board/all-farmers/ HTTP/1.1" 200 32086
[22/Jul/2024 10:55:09] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 10:55:18] "GET /board/all-farmers/ HTTP/1.1" 200 32827
[22/Jul/2024 10:56:36] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 10:56:44] "GET /board/all-farmers/ HTTP/1.1" 200 33567
[22/Jul/2024 10:58:26] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 10:58:38] "GET /board/all-farmers/ HTTP/1.1" 200 34310
[22/Jul/2024 10:59:32] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 10:59:36] "GET /board/all-farmers/ HTTP/1.1" 200 35051
[22/Jul/2024 11:01:30] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 11:01:35] "GET /board/all-farmers/ HTTP/1.1" 200 35792
[22/Jul/2024 11:02:07] "POST /board/delete/274/ HTTP/1.1" 302 0
[22/Jul/2024 11:02:07] "GET /board/all-farmers/ HTTP/1.1" 200 35235
[22/Jul/2024 11:04:03] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 11:04:06] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3413
[22/Jul/2024 11:04:26] "GET /board/all-farmers/ HTTP/1.1" 200 35795
[22/Jul/2024 11:06:34] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 11:06:40] "GET /board/all-farmers/ HTTP/1.1" 200 36536
[22/Jul/2024 11:07:53] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 11:07:57] "GET /board/all-farmers/ HTTP/1.1" 200 37278
[22/Jul/2024 11:10:17] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 11:10:21] "GET /board/all-farmers/ HTTP/1.1" 200 38025
[22/Jul/2024 11:15:34] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 11:19:36] "GET /board/all-farmers/ HTTP/1.1" 200 38773
[22/Jul/2024 11:20:45] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 11:20:48] "GET /board/all-farmers/ HTTP/1.1" 200 39516
[22/Jul/2024 11:30:09] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
[22/Jul/2024 11:30:38] "GET /board/all-farmers/ HTTP/1.1" 200 40257
[22/Jul/2024 11:37:37] "POST /dashboard/register-new-farmer/ HTTP/1.1" 200 3128
